date,ticker,sector,open,high,low,close,volume,company,year,month,quarter,week,month_name,yearmonth,daily_return,52w_high,52w_low,pct_from_52w_high,ma_30,volatility_30d
2023-01-03,ABL.KA,Banking,39.12,39.43,39.12,39.42,2500,ABL,2023,1,1,1,Jan,2023-01,-0.0002536139994927522,39.43,39.12,-0.03,39.42,
2023-01-04,ABL.KA,Banking,42.06,42.06,39.43,39.43,158000,ABL,2023,1,1,1,Jan,2023-01,0.0002536783358699779,42.06,39.12,-6.25,39.425,0.0003587098503789467
2023-01-05,ABL.KA,Banking,40.0,40.0,40.0,40.0,500,ABL,2023,1,1,1,Jan,2023-01,0.014455997971088097,42.06,39.12,-4.9,39.61666666666667,0.008350009110369035
2023-01-06,ABL.KA,Banking,39.43,39.43,39.43,39.43,1500,ABL,2023,1,1,1,Jan,2023-01,-0.014249999999999985,42.06,39.12,-6.25,39.57,0.011721155157524532
2023-01-09,ABL.KA,Banking,39.89,39.89,39.43,39.58,5500,ABL,2023,1,1,2,Jan,2023-01,0.003804209992391616,42.06,39.12,-5.9,39.572,0.01028861758183945
2023-01-10,ABL.KA,Banking,39.58,39.58,39.43,39.47,41500,ABL,2023,1,1,2,Jan,2023-01,-0.002779181404749864,42.06,39.12,-6.16,39.555,0.009317835752794905
2023-01-11,ABL.KA,Banking,39.47,39.47,39.47,39.47,0,ABL,2023,1,1,2,Jan,2023-01,0.0,42.06,39.12,-6.16,39.542857142857144,0.008506334903397054
2023-01-12,ABL.KA,Banking,39.58,39.58,39.58,39.58,2500,ABL,2023,1,1,2,Jan,2023-01,0.0027869267798328323,42.06,39.12,-5.9,39.5475,0.007929256996963696
2023-01-13,ABL.KA,Banking,39.58,39.58,39.58,39.58,13000,ABL,2023,1,1,2,Jan,2023-01,0.0,42.06,39.12,-5.9,39.55111111111111,0.007419029959858552
2023-01-16,ABL.KA,Banking,39.58,39.58,39.58,39.58,10500,ABL,2023,1,1,3,Jan,2023-01,0.0,42.06,39.12,-5.9,39.553999999999995,0.006996153128034699
2023-01-17,ABL.KA,Banking,39.58,39.58,39.43,39.58,171000,ABL,2023,1,1,3,Jan,2023-01,0.0,42.06,39.12,-5.9,39.556363636363635,0.006638239188152556
2023-01-18,ABL.KA,Banking,39.58,39.58,39.58,39.58,500,ABL,2023,1,1,3,Jan,2023-01,0.0,42.06,39.12,-5.9,39.55833333333333,0.006330191019321777
2023-01-19,ABL.KA,Banking,39.58,39.58,39.58,39.58,0,ABL,2023,1,1,3,Jan,2023-01,0.0,42.06,39.12,-5.9,39.559999999999995,0.00606140792170035
2023-01-20,ABL.KA,Banking,39.58,39.58,39.58,39.58,25000,ABL,2023,1,1,3,Jan,2023-01,0.0,42.06,39.12,-5.9,39.56142857142857,0.0058241981803794736
2023-01-23,ABL.KA,Banking,39.58,40.29,39.58,40.29,5500,ABL,2023,1,1,4,Jan,2023-01,0.01793835270338562,42.06,39.12,-4.21,39.61,0.007229777502439123
2023-01-24,ABL.KA,Banking,40.35,40.35,40.35,40.35,6000,ABL,2023,1,1,4,Jan,2023-01,0.0014892032762472418,42.06,39.12,-4.07,39.65625,0.006984631535408522
2023-01-25,ABL.KA,Banking,40.35,40.35,39.43,39.59,16500,ABL,2023,1,1,4,Jan,2023-01,-0.01883519206939277,42.06,39.12,-5.87,39.652352941176474,0.00836527879029572
2023-01-26,ABL.KA,Banking,40.04,40.47,39.73,39.74,18500,ABL,2023,1,1,4,Jan,2023-01,0.0037888355645363525,42.06,39.12,-5.52,39.657222222222224,0.008157755472313653
2023-01-27,ABL.KA,Banking,40.59,40.6,40.04,40.04,3500,ABL,2023,1,1,4,Jan,2023-01,0.007549068948162985,42.06,39.12,-4.8,39.677368421052634,0.008092704352874715
2023-01-30,ABL.KA,Banking,40.04,40.1,40.04,40.1,2000,ABL,2023,1,1,5,Jan,2023-01,0.0014985014985016143,42.06,39.12,-4.66,39.6985,0.007878238722850928
2023-01-31,ABL.KA,Banking,40.1,40.1,40.04,40.05,30000,ABL,2023,1,1,5,Jan,2023-01,-0.0012468827930175452,42.06,39.12,-4.78,39.71523809523809,0.007692670221382006
2023-02-01,ABL.KA,Banking,41.82,42.17,40.69,40.69,16500,ABL,2023,2,1,5,Feb,2023-02,0.01598002496878892,42.17,39.12,-3.51,39.75954545454545,0.008177586494851757
2023-02-02,ABL.KA,Banking,40.69,40.69,40.4,40.66,2500,ABL,2023,2,1,5,Feb,2023-02,-0.0007372818874417097,42.17,39.12,-3.58,39.79869565217391,0.00800272944583544
2023-02-03,ABL.KA,Banking,40.42,40.42,40.42,40.42,500,ABL,2023,2,1,5,Feb,2023-02,-0.005902606984751424,42.17,39.12,-4.15,39.82458333333333,0.007966252587899984
2023-02-06,ABL.KA,Banking,40.66,40.68,40.66,40.68,1000,ABL,2023,2,1,6,Feb,2023-02,0.00643245917862445,42.17,39.12,-3.53,39.8588,0.007872083986881231
2023-02-07,ABL.KA,Banking,42.41,42.44,42.41,42.44,1000,ABL,2023,2,1,6,Feb,2023-02,0.04326450344149446,42.44,39.12,0.0,39.95807692307692,0.01128231216967416
2023-02-08,ABL.KA,Banking,41.27,41.27,41.27,41.27,1000,ABL,2023,2,1,6,Feb,2023-02,-0.027568331762488074,42.44,39.12,-2.76,40.00666666666667,0.012520496138710133
2023-02-09,ABL.KA,Banking,41.27,41.58,40.97,41.27,26500,ABL,2023,2,1,6,Feb,2023-02,0.0,42.44,39.12,-2.76,40.051785714285714,0.012290976972553031
2023-02-10,ABL.KA,Banking,38.97,41.26,38.53,39.34,15500,ABL,2023,2,1,6,Feb,2023-02,-0.04676520474921253,42.44,38.53,-7.3,40.02724137931035,0.015055787905043312
2023-02-13,ABL.KA,Banking,39.49,39.61,39.43,39.46,15500,ABL,2023,2,1,7,Feb,2023-02,0.0030503304524656105,42.44,38.53,-7.02,40.00833333333333,0.014804193910750479
2023-02-14,ABL.KA,Banking,39.43,39.43,39.43,39.43,2500,ABL,2023,2,1,7,Feb,2023-02,-0.0007602635580334915,42.44,38.53,-7.09,40.00866666666666,0.014804937705218076
2023-02-15,ABL.KA,Banking,39.43,40.02,39.43,40.02,3500,ABL,2023,2,1,7,Feb,2023-02,0.014963225970073601,42.44,38.53,-5.7,40.028333333333336,0.015051223175330771
2023-02-16,ABL.KA,Banking,38.93,41.83,38.93,39.44,11500,ABL,2023,2,1,7,Feb,2023-02,-0.014492753623188581,42.44,38.53,-7.07,40.009666666666675,0.015060579800632683
2023-02-17,ABL.KA,Banking,39.73,40.65,39.73,40.04,76500,ABL,2023,2,1,7,Feb,2023-02,0.015212981744421983,42.44,38.53,-5.66,40.03,0.015084183694889076
2023-02-20,ABL.KA,Banking,40.04,40.04,40.04,40.04,13500,ABL,2023,2,1,8,Feb,2023-02,0.0,42.44,38.53,-5.66,40.04533333333334,0.015072498509799616
2023-02-21,ABL.KA,Banking,42.2,42.2,40.1,40.1,2500,ABL,2023,2,1,8,Feb,2023-02,0.0014985014985016143,42.44,38.53,-5.51,40.06633333333333,0.015060679749010882
2023-02-22,ABL.KA,Banking,40.35,40.35,40.35,40.35,1000,ABL,2023,2,1,8,Feb,2023-02,0.006234413965087171,42.44,38.53,-4.92,40.09566666666667,0.015094545190126353
2023-02-23,ABL.KA,Banking,40.35,41.88,40.35,40.76,22500,ABL,2023,2,1,8,Feb,2023-02,0.01016109045848812,42.44,38.53,-3.96,40.135,0.015187001279432719
2023-02-24,ABL.KA,Banking,40.66,40.72,40.66,40.66,7000,ABL,2023,2,1,8,Feb,2023-02,-0.002453385672227748,42.44,38.53,-4.19,40.171,0.015199683229503502
2023-02-27,ABL.KA,Banking,40.66,40.75,40.66,40.66,8000,ABL,2023,2,1,9,Feb,2023-02,0.0,42.44,38.53,-4.19,40.207,0.015199683229503502
2023-02-28,ABL.KA,Banking,40.66,41.21,40.66,40.66,6000,ABL,2023,2,1,9,Feb,2023-02,0.0,42.44,38.53,-4.19,40.24300000000001,0.015199683229503502
2023-03-01,ABL.KA,Banking,41.8,41.83,37.61,40.66,22500,ABL,2023,3,1,9,Mar,2023-03,0.0,42.44,37.61,-4.19,40.278999999999996,0.015199683229503502
2023-03-02,ABL.KA,Banking,40.73,40.73,40.66,40.66,42500,ABL,2023,3,1,9,Mar,2023-03,0.0,42.44,37.61,-4.19,40.315000000000005,0.015199683229503502
2023-03-03,ABL.KA,Banking,40.97,41.21,40.97,41.21,2000,ABL,2023,3,1,9,Mar,2023-03,0.013526807673389207,42.44,37.61,-2.9,40.36933333333334,0.01536838709004161
2023-03-06,ABL.KA,Banking,41.28,41.28,40.68,40.71,2500,ABL,2023,3,1,10,Mar,2023-03,-0.012132977432661951,42.44,37.61,-4.08,40.38333333333333,0.015236724408758054
2023-03-07,ABL.KA,Banking,40.69,40.69,40.69,40.69,500,ABL,2023,3,1,10,Mar,2023-03,-0.0004912797838370064,42.44,37.61,-4.12,40.394666666666666,0.015236395116412253
2023-03-08,ABL.KA,Banking,40.97,40.97,40.97,40.97,14000,ABL,2023,3,1,10,Mar,2023-03,0.006881297616121884,42.44,37.61,-3.46,40.440666666666665,0.014835466378118747
2023-03-09,ABL.KA,Banking,40.98,41.55,40.97,41.28,14000,ABL,2023,3,1,10,Mar,2023-03,0.007566512082011201,42.44,37.61,-2.73,40.492,0.014873744524257614
2023-03-10,ABL.KA,Banking,41.74,42.01,41.74,41.89,1538000,ABL,2023,3,1,10,Mar,2023-03,0.014777131782945707,42.44,37.61,-1.3,40.55366666666667,0.015034864638075575
2023-03-13,ABL.KA,Banking,43.12,43.12,41.0,41.89,2500,ABL,2023,3,1,11,Mar,2023-03,0.0,43.12,37.61,-2.85,40.61333333333333,0.01503775933130186
2023-03-14,ABL.KA,Banking,41.31,41.31,41.31,41.31,1000,ABL,2023,3,1,11,Mar,2023-03,-0.013845786583910225,43.12,37.61,-4.2,40.65533333333334,0.015292805524605166
